time,iso8601Time,brightness,humidity,rain,temperature,uptime,voltage
2023/6/18 16:07,2023-06-18T16:07:14.392+09:00,503,0,1,0,16,3.253
2023/6/18 16:10,2023-06-18T16:10:39.189+09:00,219,0,1,0,16,4.706
2023/6/18 16:14,2023-06-18T16:14:04.058+09:00,517,44,1,27.9,16,3.143
2023/6/18 16:16,2023-06-18T16:16:54.467+09:00,523,0,1,0,16,3.137
2023/6/18 16:46,2023-06-18T16:46:28.226+09:00,453,31,1,34.3,16,3.467
2023/6/19 13:47,2023-06-19T13:47:18.866+09:00,485,0,2.81,0,16,3.448
2023/6/19 13:57,2023-06-19T13:57:25.429+09:00,612,0,2.81,0,622,2.319
2023/6/19 17:18,2023-06-19T17:18:37.822+09:00,977,60,2.81,18.7,16,0.275
2023/6/19 17:23,2023-06-19T17:23:06.913+09:00,979,60,2.81,18.6,16,0.269
2023/6/19 17:33,2023-06-19T17:33:13.239+09:00,982,60,2.81,18.3,621,0.275
2023/6/19 17:43,2023-06-19T17:43:19.406+09:00,982,59,2.81,18.8,1227,0.25
2023/6/19 17:53,2023-06-19T17:53:25.506+09:00,979,60,2.81,18.7,1832,0.262
2023/6/19 18:03,2023-06-19T18:03:35.252+09:00,979,60,2.81,18.2,2441,0.256
2023/6/19 18:13,2023-06-19T18:13:45.004+09:00,980,62,2.81,17.9,3050,0.25
2023/6/19 18:23,2023-06-19T18:23:51.081+09:00,979,64,2.81,17.4,3656,0.281
2023/6/19 18:33,2023-06-19T18:33:57.319+09:00,978,67,2.81,16.7,4261,0.25
2023/6/19 18:44,2023-06-19T18:44:03.416+09:00,980,68,2.81,16.4,4867,0.262
2023/6/19 18:54,2023-06-19T18:54:09.498+09:00,977,69,2.81,16,5472,0.262
2023/6/19 19:04,2023-06-19T19:04:19.191+09:00,979,70,2.81,15.3,6081,0.262
2023/6/19 19:14,2023-06-19T19:14:28.912+09:00,976,72,2.81,14.8,6691,0.269
2023/6/19 19:24,2023-06-19T19:24:35.002+09:00,981,75,2.81,14.5,7296,0.293
2023/6/19 19:34,2023-06-19T19:34:41.154+09:00,979,75,2.81,14.1,7901,0.281
2023/6/19 19:44,2023-06-19T19:44:47.243+09:00,978,76,2.81,13.9,8507,0.262
2023/6/19 19:54,2023-06-19T19:54:53.335+09:00,980,76,2.81,14,9112,0.275
2023/6/19 20:04,2023-06-19T20:04:59.402+09:00,979,77,2.81,14,9718,0.269
2023/6/19 20:15,2023-06-19T20:15:05.484+09:00,978,77,2.81,13.9,10323,0.281
2023/6/19 20:25,2023-06-19T20:25:11.563+09:00,977,77,2.81,13.7,10929,0.262
2023/6/19 20:35,2023-06-19T20:35:17.640+09:00,977,77,2.81,13.6,11534,0.262
2023/6/19 20:45,2023-06-19T20:45:23.562+09:00,977,78,2.81,13.6,12140,0.269
2023/6/19 20:55,2023-06-19T20:55:29.643+09:00,978,79,2.81,13.3,12745,0.275
2023/6/19 21:05,2023-06-19T21:05:35.800+09:00,980,80,2.81,13.3,13350,0.275
2023/6/19 21:15,2023-06-19T21:15:41.881+09:00,976,80,2.81,13.4,13956,0.262
2023/6/19 21:25,2023-06-19T21:25:47.961+09:00,978,80,2.81,13.4,14562,0.281
2023/6/19 21:35,2023-06-19T21:35:56.125+09:00,980,80,2.81,13.3,15169,0.287
2023/6/19 21:46,2023-06-19T21:46:02.286+09:00,978,81,2.81,13.2,15774,0.262
2023/6/19 21:56,2023-06-19T21:56:08.363+09:00,980,82,2.81,13.1,16380,0.262
2023/6/19 22:06,2023-06-19T22:06:14.432+09:00,980,81,2.81,13,16986,0.281
2023/6/19 22:16,2023-06-19T22:16:20.522+09:00,979,80,2.81,12.8,17591,0.293
2023/6/19 22:26,2023-06-19T22:26:26.602+09:00,980,79,2.81,12.5,18196,0.281
2023/6/19 22:36,2023-06-19T22:36:32.672+09:00,978,78,2.81,11.8,18802,0.287
2023/6/19 22:46,2023-06-19T22:46:38.762+09:00,976,79,2.81,11.1,19407,0.269
2023/6/19 22:56,2023-06-19T22:56:44.843+09:00,975,80,2.81,10.6,20013,0.262
2023/6/19 23:06,2023-06-19T23:06:50.922+09:00,976,81,2.81,10.2,20618,0.275
2023/6/19 23:16,2023-06-19T23:16:57.002+09:00,979,81,2.81,10,21224,0.262
2023/6/19 23:27,2023-06-19T23:27:03.085+09:00,977,81,2.81,9.7,21829,0.293
2023/6/19 23:37,2023-06-19T23:37:09.171+09:00,980,83,2.81,9.5,22435,0.262
2023/6/19 23:47,2023-06-19T23:47:15.247+09:00,979,86,2.81,9.4,23040,0.281
2023/6/19 23:57,2023-06-19T23:57:21.333+09:00,977,83,2.81,9.2,23646,0.281
2023/6/20 0:07,2023-06-20T00:07:27.472+09:00,977,83,2.81,8.9,24251,0.305
2023/6/20 0:17,2023-06-20T00:17:33.552+09:00,978,83,2.81,8.6,24857,0.275
2023/6/20 0:27,2023-06-20T00:27:39.649+09:00,973,82,2.81,8.4,25462,0.287
2023/6/20 0:37,2023-06-20T00:37:45.721+09:00,975,83,2.81,8.3,26068,0.269
2023/6/20 0:47,2023-06-20T00:47:51.801+09:00,977,84,2.81,8.1,26673,0.281
2023/6/20 0:57,2023-06-20T00:57:57.882+09:00,978,84,2.81,8.1,27279,0.275
2023/6/20 1:08,2023-06-20T01:08:03.962+09:00,975,85,2.81,8.1,27884,0.281
2023/6/20 1:18,2023-06-20T01:18:12.930+09:00,977,83,2.81,8,28490,0.293
2023/6/20 1:28,2023-06-20T01:28:18.995+09:00,979,83,2.81,7.8,29098,0.275
2023/6/20 1:38,2023-06-20T01:38:25.082+09:00,977,87,2.81,7.8,29704,0.269
2023/6/20 1:48,2023-06-20T01:48:31.159+09:00,978,86,2.81,8.1,30309,0.262
2023/6/20 1:58,2023-06-20T01:58:37.233+09:00,980,85,2.81,7.9,30914,0.269
2023/6/20 2:08,2023-06-20T02:08:43.314+09:00,981,86,2.81,7.8,31520,0.262
2023/6/20 2:18,2023-06-20T02:18:49.401+09:00,980,85,2.81,7.9,32125,0.287
2023/6/20 2:28,2023-06-20T02:28:55.483+09:00,979,86,2.81,7.8,32731,0.262
2023/6/20 2:39,2023-06-20T02:39:05.326+09:00,975,87,2.81,8.1,33340,0.293
2023/6/20 2:49,2023-06-20T02:49:14.993+09:00,976,87,2.81,8.4,33949,0.293
